sku,product_family,warehouse,on_hand_qty,unit_cost,reorder_point,lead_time_days,last_received_date
NK-CM-1113,Compressors,PA-PHL-01,482,17520.28,14,82,2025-12-08
NK-VL-1174,Valves,TX-HOU-01,447,20704.78,17,74,2025-04-12
NK-CP-1132,Cryogenic Pumps,TX-HOU-02,151,5579.9,27,45,2024-01-15
NK-CM-1388,Compressors,CA-LAX-01,98,19817.57,47,27,2026-01-18
NK-CP-1151,Cryogenic Pumps,PA-PHL-01,376,7902.64,37,10,2024-04-03
NK-CM-1033,Compressors,OH-CLE-01,231,2972.07,33,15,2024-12-12
NK-CM-1039,Compressors,TX-HOU-01,344,16012.61,87,19,2024-03-03
NK-CM-1244,Compressors,OH-CLE-01,28,196.77,43,34,2026-02-24
NK-SL-1109,Seals & Bearings,TX-HOU-02,429,507.64,24,37,2024-05-09
NK-SL-1384,Seals & Bearings,PA-PHL-01,451,20522.7,9,114,2025-02-10
NK-VL-1337,Valves,OH-CLE-01,21,20219.77,8,17,2024-02-16
NK-CM-1046,Compressors,CA-LAX-01,216,17069.07,98,107,2025-07-23
NK-SL-1382,Seals & Bearings,CA-LAX-01,164,6998.75,12,105,2024-04-01
NK-MT-1119,Motors,OH-CLE-01,396,11850.08,60,112,2026-01-18
NK-MT-1457,Motors,PA-PHL-01,346,21965.76,47,56,2026-02-12
NK-IN-1202,Instrumentation,TX-HOU-02,241,621.39,76,48,2025-09-16
NK-VL-1026,Valves,TX-HOU-02,276,23361.14,72,7,2025-09-05
NK-MT-1356,Motors,TX-HOU-01,23,961.56,96,49,2026-04-03
NK-CP-1190,Cryogenic Pumps,OH-CLE-01,442,16804.76,100,13,2025-09-12
NK-VL-1407,Valves,TX-HOU-01,277,24356.08,13,67,2024-02-02
NK-MT-1128,Motors,CA-LAX-01,217,24417.5,75,49,2024-12-26
NK-MT-1184,Motors,TX-HOU-02,118,11302.75,37,65,2024-09-18
NK-CP-1306,Cryogenic Pumps,TX-HOU-02,146,8751.33,11,117,2025-11-02
NK-CP-1400,Cryogenic Pumps,OH-CLE-01,228,12944.25,51,16,2025-07-31
NK-VL-1081,Valves,PA-PHL-01,280,20427.68,43,43,2024-08-03
NK-CM-1154,Compressors,CA-LAX-01,92,24425.19,60,88,2026-04-13
NK-MT-1331,Motors,OH-CLE-01,93,18812.62,21,62,2025-05-29
NK-MT-1103,Motors,TX-HOU-01,464,9658.65,77,91,2024-01-28
NK-CM-1299,Compressors,CA-LAX-01,129,18311.4,50,107,2024-03-10
NK-IN-1000,Instrumentation,TX-HOU-01,12,18170.18,36,35,2024-05-22
NK-MT-1233,Motors,TX-HOU-02,413,10518.11,76,105,2026-04-18
NK-CP-1379,Cryogenic Pumps,OH-CLE-01,115,15632.72,11,19,2025-02-27
NK-CM-1080,Compressors,PA-PHL-01,346,18331.44,27,85,2025-08-05
NK-SL-1063,Seals & Bearings,PA-PHL-01,282,17291.35,76,8,2024-04-24
NK-VL-1008,Valves,OH-CLE-01,453,21112.99,78,31,2025-12-22
NK-IN-1235,Instrumentation,CA-LAX-01,14,4427.16,94,104,2024-11-12
NK-CP-1050,Cryogenic Pumps,TX-HOU-02,35,14581.8,91,117,2024-08-28
NK-VL-1023,Valves,TX-HOU-01,150,10656.55,63,7,2026-01-09
NK-IN-1024,Instrumentation,CA-LAX-01,497,12268.6,27,71,2024-04-18
NK-CP-1175,Cryogenic Pumps,TX-HOU-02,209,21338.95,24,16,2025-04-25
NK-SL-1424,Seals & Bearings,CA-LAX-01,439,17338.12,64,14,2025-07-29
NK-MT-1394,Motors,OH-CLE-01,5,6414.33,51,95,2024-08-29
NK-CP-1066,Cryogenic Pumps,CA-LAX-01,107,16713.34,90,20,2024-12-28
NK-CM-1280,Compressors,OH-CLE-01,145,18435.69,62,36,2025-06-30
NK-CM-1172,Compressors,TX-HOU-01,162,18247.45,95,110,2025-01-25
NK-CM-1145,Compressors,TX-HOU-01,351,5725.4,38,107,2026-03-21
NK-VL-1488,Valves,,110,61.91,11,40,2024-08-15
NK-SL-1322,Seals & Bearings,TX-HOU-01,69,20895.5,62,29,2025-12-31
NK-IN-1391,Instrumentation,PA-PHL-01,423,10483.59,46,18,2025-02-14
NK-IN-1108,Instrumentation,TX-HOU-01,399,23453.86,10,103,2024-02-01
NK-CM-1357,Compressors,OH-CLE-01,233,3656.28,70,24,2024-12-01
NK-CM-1377,Compressors,TX-HOU-02,103,20286.28,39,78,2025-12-13
NK-SL-1203,Seals & Bearings,TX-HOU-01,325,20185.95,94,45,2025-10-26
NK-IN-1273,Instrumentation,OH-CLE-01,47,15830.62,59,72,2025-01-05
NK-IN-1032,Instrumentation,TX-HOU-02,365,7642.9,90,90,2025-01-17
NK-SL-1426,Seals & Bearings,CA-LAX-01,331,1945.05,62,115,2025-01-14
NK-CP-1395,Cryogenic Pumps,TX-HOU-01,238,7522.65,56,94,2025-05-29
NK-SL-1472,Seals & Bearings,TX-HOU-01,85,10654.37,58,45,2025-05-10
NK-IN-1001,Instrumentation,TX-HOU-01,346,18148.56,74,18,2025-08-27
NK-IN-1297,Instrumentation,TX-HOU-01,268,23879.25,13,74,2025-07-11
NK-SL-1167,Seals & Bearings,TX-HOU-01,141,18932.47,58,50,2026-03-17
NK-SL-1442,Seals & Bearings,TX-HOU-01,111,12394.66,52,14,2025-09-24
NK-CP-1232,Cryogenic Pumps,CA-LAX-01,432,13632.28,19,104,2024-10-12
NK-CM-1188,Compressors,TX-HOU-01,121,9348.68,50,80,2024-10-29
NK-SL-1142,Seals & Bearings,TX-HOU-02,135,16183.38,25,37,2024-06-26
NK-IN-1338,Instrumentation,OH-CLE-01,135,15955.65,78,60,2025-09-24
NK-VL-1206,Valves,OH-CLE-01,214,14393.35,98,26,2026-06-25
NK-IN-1047,Instrumentation,PA-PHL-01,79,4659.38,32,14,2025-08-16
NK-SL-1038,Seals & Bearings,TX-HOU-01,49,16147.98,50,61,2025-02-24
NK-MT-1231,Motors,OH-CLE-01,108,3798.07,66,35,2026-05-17
NK-SL-1192,Seals & Bearings,OH-CLE-01,410,8637.37,86,31,2025-09-27
NK-CP-1412,Cryogenic Pumps,CA-LAX-01,237,16503.52,74,61,2025-06-28
NK-VL-1321,Valves,PA-PHL-01,109,24410.98,41,95,2025-05-17
NK-CM-1385,Compressors,TX-HOU-02,479,18352.71,42,119,2024-02-08
NK-CP-1295,Cryogenic Pumps,OH-CLE-01,294,5933.93,23,44,2025-03-15
NK-IN-1452,Instrumentation,CA-LAX-01,289,23944.76,17,74,2024-02-13
NK-CP-1467,Cryogenic Pumps,TX-HOU-02,220,11001.35,76,72,2025-02-21
NK-IN-1201,Instrumentation,CA-LAX-01,299,9340.39,86,54,2024-04-20
NK-IN-1373,Instrumentation,TX-HOU-02,353,17274.72,45,68,2024-12-23
NK-IN-1164,Instrumentation,TX-HOU-02,255,22850.57,42,72,2025-12-23
NK-VL-1074,Valves,TX-HOU-01,55,14619.42,49,100,2026-03-16
NK-CM-1127,Compressors,TX-HOU-02,156,16269.88,52,67,2025-07-20
NK-MT-1067,Motors,PA-PHL-01,498,15209.43,24,37,2026-06-04
NK-CP-1064,Cryogenic Pumps,TX-HOU-02,279,890.88,52,81,2025-07-19
NK-MT-1141,Motors,OH-CLE-01,30,14939.28,99,19,2026-02-20
NK-VL-1351,Valves,CA-LAX-01,391,9884.8,10,58,2024-02-22
NK-CM-1210,Compressors,CA-LAX-01,97,23721.34,63,18,2025-11-09
NK-SL-1423,Seals & Bearings,CA-LAX-01,192,4511.97,73,67,2024-09-03
NK-IN-1048,Instrumentation,OH-CLE-01,31,18327.54,12,13,2025-08-21
NK-IN-1263,Instrumentation,TX-HOU-01,230,22272.5,78,90,2024-07-11
NK-CP-1136,Cryogenic Pumps,CA-LAX-01,481,21113.39,19,112,2024-03-07
NK-IN-1387,Instrumentation,OH-CLE-01,268,12105.16,22,115,2025-05-31
NK-CP-1148,Cryogenic Pumps,TX-HOU-01,84,19421.16,81,102,2026-04-24
NK-MT-1402,Motors,TX-HOU-02,84,8044.59,71,63,2024-04-29
NK-VL-1165,Valves,PA-PHL-01,427,11825.64,65,38,2025-04-12
NK-IN-1396,Instrumentation,CA-LAX-01,353,2884.19,42,54,2025-09-21
NK-MT-1398,Motors,CA-LAX-01,212,17200.08,65,103,2025-07-04
NK-CP-1448,Cryogenic Pumps,CA-LAX-01,491,9952.72,77,38,2025-12-14
NK-MT-1143,Motors,TX-HOU-01,80,74.03,62,95,2025-08-31
NK-CM-1272,Compressors,CA-LAX-01,416,3138.36,94,113,2026-01-26
NK-IN-1360,Instrumentation,OH-CLE-01,153,11639.33,7,54,2024-12-05
NK-SL-1291,Seals & Bearings,PA-PHL-01,229,15079.3,15,9,2024-09-19
NK-SL-1030,Seals & Bearings,PA-PHL-01,484,13474.01,38,74,2026-06-12
NK-MT-1353,Motors,PA-PHL-01,391,13475.32,84,94,2025-09-17
NK-CM-1105,Compressors,CA-LAX-01,108,11144.77,48,104,2026-06-19
NK-MT-1474,Motors,OH-CLE-01,100,11222.22,22,45,2024-01-07
NK-IN-1315,Instrumentation,TX-HOU-02,487,771.18,82,93,2026-03-11
NK-CP-1084,Cryogenic Pumps,CA-LAX-01,263,16267.28,84,49,2024-04-05
NK-IN-1219,Instrumentation,OH-CLE-01,154,11226.65,8,14,2025-05-05
NK-CM-1323,Compressors,TX-HOU-01,414,16709.97,45,92,2024-12-21
,Motors,TX-HOU-02,174,386.13,6,66,2025-12-26
NK-VL-1179,Valves,TX-HOU-02,382,2222.03,17,104,2025-10-10
NK-MT-1352,Motors,OH-CLE-01,99,8887.25,41,16,2025-01-30
NK-IN-1301,Instrumentation,CA-LAX-01,68,1094.35,74,50,2026-04-13
NK-CP-1107,Cryogenic Pumps,PA-PHL-01,9,18353.23,11,51,2024-08-17
NK-CM-1121,Compressors,TX-HOU-02,384,11389.91,83,92,2025-01-23
NK-IN-1459,Instrumentation,CA-LAX-01,27,2400.97,34,114,2024-03-18
NK-CP-1224,Cryogenic Pumps,OH-CLE-01,369,21205.71,60,64,2026-06-28
NK-SL-1044,Seals & Bearings,TX-HOU-02,208,11902.58,32,117,2025-02-14
NK-CM-1476,Compressors,OH-CLE-01,69,7366.61,82,95,2024-07-24
NK-MT-1489,Motors,,191,264.21,42,80,2024-08-14
NK-MT-1429,Motors,OH-CLE-01,111,11749.58,47,45,2024-01-16
NK-CP-1401,Cryogenic Pumps,TX-HOU-01,424,13421.25,69,32,2025-08-09
NK-CP-1466,Cryogenic Pumps,CA-LAX-01,227,8823.42,39,20,2024-05-15
NK-IN-1126,Instrumentation,PA-PHL-01,229,19428.62,16,44,2024-08-14
NK-IN-1421,Instrumentation,TX-HOU-02,320,16632.11,76,70,2024-02-18
NK-IN-1499,Instrumentation,TX-HOU-02,-7,146.39,50,15,2025-08-14
NK-CP-1217,Cryogenic Pumps,TX-HOU-01,243,10987.43,51,72,2025-08-30
NK-VL-1111,Valves,TX-HOU-02,310,14880.9,100,98,2024-04-27
NK-IN-1279,Instrumentation,PA-PHL-01,22,10071.04,91,99,2024-08-31
NK-SL-1225,Seals & Bearings,PA-PHL-01,173,20273.24,56,60,2026-01-17
NK-IN-1368,Instrumentation,TX-HOU-02,265,5086.61,46,91,2025-05-04
NK-CM-1021,Compressors,OH-CLE-01,239,12967.3,75,117,2024-01-12
NK-CP-1277,Cryogenic Pumps,CA-LAX-01,448,18776.52,21,83,2025-01-20
NK-CM-1494,Compressors,PA-PHL-01,-11,42.92,7,21,2024-01-24
NK-SL-1278,Seals & Bearings,TX-HOU-02,92,20369.39,84,110,2024-06-18
NK-CM-1137,Compressors,PA-PHL-01,37,14140.61,92,13,2024-06-04
NK-CM-1477,Compressors,CA-LAX-01,90,23632.38,45,44,2026-01-22
NK-CP-1293,Cryogenic Pumps,CA-LAX-01,121,7384.14,11,37,2025-03-05
NK-SL-1057,Seals & Bearings,CA-LAX-01,145,3871.96,74,97,2024-11-05
NK-CP-1451,Cryogenic Pumps,TX-HOU-01,359,4205.94,68,115,2025-03-20
NK-SL-1281,Seals & Bearings,CA-LAX-01,494,19812.91,65,113,2024-07-17
NK-IN-1470,Instrumentation,OH-CLE-01,463,24321.95,36,80,2025-06-17
NK-IN-1392,Instrumentation,TX-HOU-01,94,24051.44,66,48,2024-09-11
NK-VL-1380,Valves,PA-PHL-01,51,16691.91,22,7,2025-07-17
NK-VL-1406,Valves,TX-HOU-01,381,5345.23,14,12,2025-03-09
NK-CP-1473,Cryogenic Pumps,CA-LAX-01,128,23133.92,97,87,2025-05-22
NK-SL-1086,Seals & Bearings,PA-PHL-01,312,20819.85,14,65,2025-02-28
NK-VL-1433,Valves,OH-CLE-01,451,12187.57,17,109,2026-01-09
NK-MT-1440,Motors,TX-HOU-01,429,20745.39,90,13,2026-02-21
NK-MT-1115,Motors,TX-HOU-01,407,24104.32,10,51,2025-06-29
NK-CM-1140,Compressors,PA-PHL-01,465,10851.4,80,61,2024-11-08
NK-IN-1016,Instrumentation,CA-LAX-01,108,16061.18,55,120,2025-10-20
NK-MT-1149,Motors,CA-LAX-01,224,3054.11,93,45,2025-12-17
NK-SL-1112,Seals & Bearings,CA-LAX-01,55,14181.36,44,80,2025-11-24
NK-CM-1389,Compressors,CA-LAX-01,367,4568.79,99,50,2026-03-20
NK-CP-1015,Cryogenic Pumps,CA-LAX-01,205,6565.88,32,79,2026-06-16
NK-VL-1289,Valves,TX-HOU-01,429,17512.68,47,108,2024-05-29
NK-CP-1042,Cryogenic Pumps,PA-PHL-01,413,21104.23,75,19,2024-02-21
NK-MT-1435,Motors,TX-HOU-02,379,3582.37,38,77,2025-08-21
NK-CM-1434,Compressors,CA-LAX-01,468,4983.4,45,59,2024-02-16
NK-IN-1227,Instrumentation,PA-PHL-01,34,2242.73,15,18,2025-03-18
NK-MT-1363,Motors,OH-CLE-01,116,17676.67,79,68,2024-06-23
NK-MT-1212,Motors,TX-HOU-02,35,20331.98,75,33,2025-08-23
NK-IN-1251,Instrumentation,CA-LAX-01,45,10704.23,18,38,2025-03-22
NK-MT-1350,Motors,PA-PHL-01,146,13152.86,18,62,2024-05-17
NK-CP-1209,Cryogenic Pumps,CA-LAX-01,278,22092.39,87,52,2024-03-03
NK-SL-1253,Seals & Bearings,CA-LAX-01,398,4126.32,70,88,2024-04-26
NK-CP-1334,Cryogenic Pumps,CA-LAX-01,100,15562.0,75,42,2024-05-08
NK-MT-1258,Motors,OH-CLE-01,165,21175.2,85,47,2024-06-03
NK-CM-1287,Compressors,CA-LAX-01,476,661.69,11,57,2025-05-29
NK-MT-1445,Motors,CA-LAX-01,8,12308.52,94,93,2025-03-16
NK-MT-1417,Motors,TX-HOU-02,386,21162.55,12,24,2025-05-30
NK-MT-1099,Motors,PA-PHL-01,244,152.9,50,45,2026-02-10
NK-CM-1069,Compressors,TX-HOU-02,136,3907.49,94,20,2025-01-26
NK-CP-1248,Cryogenic Pumps,PA-PHL-01,471,1915.47,45,80,2025-03-15
NK-SL-1004,Seals & Bearings,PA-PHL-01,301,6821.81,5,104,2026-04-05
NK-CP-1183,Cryogenic Pumps,OH-CLE-01,445,9377.58,92,37,2025-05-24
NK-VL-1027,Valves,PA-PHL-01,9,2748.31,51,119,2026-05-01
NK-CM-1317,Compressors,OH-CLE-01,16,14828.18,91,64,2025-01-14
NK-CM-1230,Compressors,TX-HOU-01,495,7052.98,44,52,2024-04-16
NK-VL-1161,Valves,PA-PHL-01,450,17109.69,20,10,2025-10-07
NK-IN-1443,Instrumentation,OH-CLE-01,467,11842.89,67,9,2024-01-07
NK-SL-1071,Seals & Bearings,TX-HOU-02,12,16173.7,56,49,2024-10-12
NK-MT-1147,Motors,TX-HOU-02,331,3657.47,39,112,2024-05-25
NK-CP-1486,Cryogenic Pumps,,27,386.79,47,52,2024-06-19
NK-SL-1085,Seals & Bearings,CA-LAX-01,115,19762.44,23,10,2024-02-17
NK-SL-1284,Seals & Bearings,CA-LAX-01,26,15711.94,52,77,2024-04-15
NK-SL-1471,Seals & Bearings,PA-PHL-01,86,3408.9,43,41,2025-05-19
NK-VL-1330,Valves,TX-HOU-01,230,11417.45,71,51,2024-05-11
NK-SL-1453,Seals & Bearings,TX-HOU-02,461,21269.98,77,67,2024-10-04
NK-CM-1275,Compressors,TX-HOU-02,115,24499.43,24,16,2024-10-29
NK-IN-1325,Instrumentation,TX-HOU-02,406,8861.99,33,22,2024-07-24
NK-MT-1249,Motors,PA-PHL-01,363,15686.53,42,21,2025-02-18
NK-VL-1495,Valves,TX-HOU-01,-22,402.02,20,73,2024-06-27
NK-CP-1216,Cryogenic Pumps,TX-HOU-02,135,1291.83,99,60,2025-06-22
NK-MT-1196,Motors,CA-LAX-01,271,12298.21,39,113,2024-06-17
NK-IN-1294,Instrumentation,OH-CLE-01,234,1546.74,68,83,2025-07-02
NK-CP-1070,Cryogenic Pumps,PA-PHL-01,113,4896.34,63,51,2024-11-08
,Compressors,TX-HOU-02,162,158.39,21,26,2026-01-02
NK-SL-1214,Seals & Bearings,TX-HOU-02,276,6147.4,27,21,2025-11-07
,Seals & Bearings,PA-PHL-01,74,417.33,9,59,2025-11-20
NK-CP-1261,Cryogenic Pumps,TX-HOU-01,188,20378.0,14,89,2026-06-03
NK-CP-1072,Cryogenic Pumps,CA-LAX-01,179,15719.35,56,93,2026-05-13
NK-MT-1355,Motors,CA-LAX-01,386,3541.82,82,72,2025-02-15
NK-IN-1191,Instrumentation,PA-PHL-01,426,22152.62,41,106,2026-03-29
NK-IN-1093,Instrumentation,PA-PHL-01,230,6356.49,36,114,2025-10-14
NK-CP-1059,Cryogenic Pumps,TX-HOU-02,135,2835.52,18,102,2025-07-20
NK-CP-1156,Cryogenic Pumps,TX-HOU-02,168,10090.31,68,43,2025-11-09
NK-VL-1122,Valves,TX-HOU-01,253,20849.61,28,69,2024-08-05
NK-SL-1060,Seals & Bearings,CA-LAX-01,144,14821.69,96,50,2024-07-27
,Compressors,PA-PHL-01,18,230.04,43,68,2025-08-19
NK-SL-1068,Seals & Bearings,TX-HOU-02,451,10106.21,27,101,2024-12-06
NK-VL-1469,Valves,PA-PHL-01,6,7156.28,54,106,2024-03-27
NK-IN-1043,Instrumentation,OH-CLE-01,428,369.94,16,103,2026-05-19
NK-IN-1302,Instrumentation,TX-HOU-02,425,19090.87,64,96,2025-05-05
NK-CP-1314,Cryogenic Pumps,TX-HOU-01,343,15622.14,51,72,2026-03-31
NK-SL-1152,Seals & Bearings,OH-CLE-01,300,23294.68,91,112,2024-10-02
NK-IN-1498,Instrumentation,OH-CLE-01,-7,230.29,32,56,2024-01-05
NK-IN-1361,Instrumentation,TX-HOU-01,213,14304.24,97,118,2025-12-05
NK-CP-1344,Cryogenic Pumps,CA-LAX-01,123,11433.11,39,64,2024-09-10
NK-MT-1416,Motors,TX-HOU-01,125,18145.46,56,63,2024-08-27
NK-SL-1088,Seals & Bearings,TX-HOU-02,335,16849.4,18,106,2025-03-11
NK-CM-1316,Compressors,TX-HOU-01,64,1655.15,87,53,2025-01-05
NK-MT-1491,Motors,,38,179.03,6,68,2024-04-17
NK-VL-1432,Valves,PA-PHL-01,238,13078.39,50,46,2024-09-24
NK-IN-1180,Instrumentation,TX-HOU-01,227,4083.02,43,10,2024-02-17
NK-CM-1178,Compressors,OH-CLE-01,18,15131.01,35,87,2025-12-01
NK-CM-1490,Compressors,,95,201.66,48,82,2025-12-08
NK-VL-1300,Valves,TX-HOU-02,375,16101.97,18,105,2025-08-18
NK-CM-1200,Compressors,TX-HOU-01,135,13149.96,63,54,2025-11-19
NK-MT-1312,Motors,PA-PHL-01,85,16901.87,49,64,2024-02-13
NK-CP-1198,Cryogenic Pumps,PA-PHL-01,493,1852.69,33,117,2025-11-23
NK-VL-1305,Valves,CA-LAX-01,263,9761.6,74,67,2024-09-16
NK-CM-1160,Compressors,PA-PHL-01,389,1272.55,39,77,2024-05-14
NK-VL-1327,Valves,PA-PHL-01,411,24083.94,21,85,2026-06-24
NK-VL-1270,Valves,TX-HOU-01,298,16261.36,49,46,2025-11-02
NK-CP-1250,Cryogenic Pumps,CA-LAX-01,87,19634.08,84,65,2026-05-01
NK-CP-1441,Cryogenic Pumps,PA-PHL-01,70,20643.68,34,15,2025-12-25
NK-VL-1343,Valves,CA-LAX-01,499,9773.67,52,72,2025-07-29
NK-IN-1134,Instrumentation,TX-HOU-02,326,21278.42,67,20,2026-06-12
NK-MT-1058,Motors,OH-CLE-01,4,16365.47,75,45,2025-11-10
NK-MT-1234,Motors,OH-CLE-01,345,15749.17,8,84,2025-11-04
NK-CM-1100,Compressors,PA-PHL-01,275,18316.28,74,109,2025-09-09
NK-MT-1166,Motors,TX-HOU-02,196,4676.83,81,72,2026-02-03
NK-CM-1187,Compressors,CA-LAX-01,233,20711.26,30,56,2026-05-23
NK-IN-1095,Instrumentation,CA-LAX-01,120,6663.21,45,76,2024-03-23
NK-CP-1274,Cryogenic Pumps,CA-LAX-01,158,4423.41,32,50,2026-02-23
NK-SL-1446,Seals & Bearings,TX-HOU-01,470,2367.37,24,37,2024-07-15
NK-CM-1409,Compressors,CA-LAX-01,456,9376.0,53,55,2024-03-23
NK-CP-1052,Cryogenic Pumps,OH-CLE-01,41,10275.95,79,79,2025-06-19
